Document Name,Original Issue Date,Date Added to this List,Identifier,Topics,Description/Summary,URL
Asbestos Data Reporting – TSCA 8(a) – Additional Instructions for Submitting CBI (pdf),4/16/2024,7/21/2025,None,Asbestos reporting CBI,These additional instructions explain how to claim data elements as CBI for which no CBI checkbox is available in the asbestos data reporting application. This document lists elements of the data reporting form and describes the method for claiming that element as CBI. ,https://www.epa.gov/system/files/documents/2024-04/asbest1.pdf
Policies Regarding Manufacturers and Processors Subject to TSCA Section 4(a) Testing (pdf),4/5/2022,7/21/2025,,TSCA Section 4 Test Order,"This policy memorandum document describes certain EPA policies on the Agency’s use of this authority pertaining to the Agency’s identification of persons, chemical manufacturers (including importers) and processors required to conduct testing pursuant to Section 4(a) (i.e., under a rule, consent agreement, or order).",https://www.epa.gov/system/files/documents/2022-08/Policy_Manufacturing_Processing_August_2022.pdf
TSCA Section 8(a)(7) Rule:  Reporting and Recordkeeping Requirements for PFAS Questions and Answers (pdf),11/2/2024,7/21/2025,EPA 740-B-24-008,"PFAS, TSCA",These Questions and Answers (Q&As) are intended to provide additional guidance to potential reporting entities under the TSCA Section 8(a)(7) rule’s reporting and recordkeeping requirements for PFAS manufacturers (see 40 CFR 705). ,https://www.epa.gov/system/files/documents/2024-12/tsca-8a7-pfas-faqs_nov2024.pdf
Toxics Release Inventory Reporting Guidance for Food Manufacturers (pdf),9/1/1998,7/21/2025,EPA 745-B-25-001,Toxics Release Inventory (TRI) food manufacturing sector guidance,This document contains guidance information and recommendations specific to Toxics Release Inventory (TRI) reporting for facilities in the food manufacturing sector. ,https://guideme.epa.gov/ords/guideme_ext/guideme_ext/guideme/file/tri-guidance-for-food-manufacturers-january-2025.pdf
Reporting Guidance for the Leather Tanning and Finishing Industry (pdf),4/1/2024,7/21/2025,EPA 740-B-23-004,TRI leather tanning industry guidance,This document contains guidance information and recommendations specific to Toxics Release Inventory (TRI) reporting2 for facilities in the leather tanning and finishing industry.,https://guideme.epa.gov/ords/guideme_ext/guideme_ext/guideme/file/tri-guidance-for-leather-tanning-and-finishing-industry-april-2024.pdf
TRI Supplier Notification Requirements (pdf),2/1/2020,7/21/2025,EPA 740-B-24-003,TRI Supplier Notification Requirements,This guidance document is intended to assist industry with EPCRA section 313 supplier notification requirements.,https://guideme.epa.gov/ords/guideme_ext/guideme_ext/guideme/file/tri%20guidance%20for%20supplier%20notification%20requirements%20-%20august%202024.pdf
Plain Language Regulatory Information for the US Coordinated Framework for the Regulations of Biotechnology  (pdf),1/11/2023,7/21/2025,,"FIFRA, biotechnology ","The Coordinated Framework for the Regulation of Biotechnology outlines a comprehensive U.S. regulatory policy
for ensuring the safety of biotechnology products. It was adopted in 1986 and most recently updated in 2017. This
policy supports innovation, protects health and the environment, and promotes trust in the regulatory system. To
help developers and the public better understand U.S. regulatory processes for biotechnology products, this
document provides a high-level overview of the roles and responsibilities of U.S. regulatory agencies under the
Coordinated Framework. ",https://usbiotechnologyregulation.mrp.usda.gov/sites/default/files/coordinated-framework-plain-language.pdf
Laboratory Quality Standards for Recognition (LQSR) revision 4.0 (pdf),10/1/2024,7/21/2025,,lead,"The standards in this document apply to all lead testing laboratories voluntarily participating in the Environmental Protection Agency's (EPA) National Lead Laboratory Accreditation Program (NLLAP). In addition to meeting the Laboratory Quality Standards for Recognition (LQSR), the lead testing laboratory must also successfully participate in the Environmental Lead Proficiency Analytical Testing (ELPAT) Program.
",https://www.epa.gov/system/files/documents/2024-10/final-lqsr-4.0_document_10.10.2024.pdf
FY2025 TSCA Section 404(g) Lead-Based Paint Grant Program Guidance (pdf),6/1/2025,7/21/2025,,lead,"The U.S. Environmental Protection Agency’s (EPA) Office of Chemical Safety and Pollution Prevention (OCSPP) is issuing the FY2025 Lead-Based Paint Program (LBP) grant guidance for financial assistance agreements (grants) to states, territories, the District of Columbia, and eligible tribes and intertribal consortia under the authority of section 404(g) of the Toxic Substances Control Act (TSCA) (15 U.S.C. 2684(g)).
",https://www.epa.gov/system/files/documents/2025-06/508-fy2025-stag-guidance.pdf  
Lead-Based Paint Disclosure Rule Fact Sheet (pdf),1/1/2025,7/21/2025,,lead,"The U.S. Environmental Protection Agency (EPA) and the U.S. Department of Housing and Urban Development (HUD) work together to make sure the public gets the information needed to prevent lead exposure in homes that may have lead-based paint hazards. As a result, buyers and renters of most housing built before 1978 must receive the “Protect Your Family from Lead in Your Home” pamphlet and known information on lead-based paint and lead-based paint hazards before buying or renting the housing.
",https://www.epa.gov/system/files/documents/2024-09/lead-disclosure-rule-fact-sheet.pdf 
Compliance Guide: Reporting Requirements for the Mercury Inventory of the Toxic Substances Control Act (pdf),1/1/2022,7/21/2025,EPA-740-B-22-001,"mercury, inventory","This guide is intended for companies, organizations, and individuals who are required to submit information to EPA for the national inventory of mercury supply, use, and trade.
",https://www.epa.gov/sites/default/files/2019-05/documents/reporting_requirements_for_the_mercury_inventory_final.pdf 
Small Business Compliance Guide: Workplace Chemical Protection Program (pdf),1/1/2025,7/21/2025,740B24012,"WCPP, TSCA","This guide includes small entity compliance guidance prepared pursuant to section 212 of the Small Business Regulatory Enforcement Fairness Act of 1996, Pub. L. 104-121 as amended by Pub. L. Number 110-28.",https://www.epa.gov/system/files/documents/2025-01/general-wcpp-guide.pdf 
Small Business Compliance Guide: Methyene Chloride (pdf),11/1/2024,7/21/2025,740S24001,"TSCA, MC","This guide includes small entity compliance guidance prepared pursuant to section 212 of the Small Business Regulatory Enforcement Fairness Act of 1996, Pub. L. 104-121 as amended by Pub. L. Number 110-28.
",https://www.epa.gov/system/files/documents/2024-07/mecl-compliance-guide.pdf 
Small Business Compliance Guide: Methyene Chloride - Fact Sheet (pdf),7/1/2024,7/21/2025,740F24014,"TSCA, MC","This guide includes small entity compliance guidance prepared pursuant to section 212 of the Small Business Regulatory Enforcement Fairness Act of 1996, Pub. L. 104-121 as amended by Pub. L. Number 110-28.
",https://www.epa.gov/system/files/documents/2024-07/mecl-fact-sheet_0.pdf 
Small Business Compliance Guide: PCE - Fact Sheet (pdf),12/1/2024,7/21/2025,740F24014,"TSCA, PCE","This guide includes small entity compliance guidance prepared pursuant to section 212 of the Small Business Regulatory Enforcement Fairness Act of 1996, Pub. L. 104-121 as amended by Pub. L. Number 110-28.
",https://www.epa.gov/system/files/documents/2024-12/pce-fact-sheet_english.pdf 
Small Business Compliance Guide: PCE - PCE Dry Cleaning (pdf),1/1/2025,7/21/2025,740B24007,"TSCA, PCE","This guide includes small entity compliance guidance prepared pursuant to section 212 of the Small Business Regulatory Enforcement Fairness Act of 1996, Pub. L. 104-121 as amended by Pub. L. Number 110-28.
",https://www.epa.gov/system/files/documents/2025-01/pce-dry-cleaner-compliance-guide.pdf 
Small Business Compliance Guide: PCE - Energized Electrical Cleaners (pdf),1/1/2025,7/21/2025,740B24007,"TSCA, PCE","This guide includes small entity compliance guidance prepared pursuant to section 212 of the Small Business Regulatory Enforcement Fairness Act of 1996, Pub. L. 104-121 as amended by Pub. L. Number 110-28.",https://www.epa.gov/system/files/documents/2025-01/pce-eec-compliance-guide.pdf 
Small Business Compliance Guide: TCE (pdf),1/1/2025,7/21/2025,740B24011,"TSCA, PCE","This guide includes small entity compliance guidance prepared pursuant to section 212 of the Small Business Regulatory Enforcement Fairness Act of 1996, Pub. L. 104-121 as amended by Pub. L. Number 110-28.",https://www.epa.gov/system/files/documents/2025-01/tce-compliance-guide.pdf 
Small Business Compliance Guide: TCE - Fact Sheet (pdf),1/1/2025,7/21/2025,740F24015,"TSCA, PCE","This guide includes small entity compliance guidance prepared pursuant to section 212 of the Small Business Regulatory Enforcement Fairness Act of 1996, Pub. L. 104-121 as amended by Pub. L. Number 110-28.",https://www.epa.gov/system/files/documents/2024-12/tce-fact-sheet.pdf 
U.S. EPA Criteria for Product Category Rules (PCRs) to Support the Label Program for Low Embodied Carbon Construction Materials (EPA’s PCR Criteria) (Version 1—2024)  Office of Chemical Safety and Pollution Prevention EPA-740-R-24-009 August 2024 (pdf),8/1/2024,7/21/2025,,,"This document provides recommendations that Product Category Rules (PCRs) must meet to ensure their credibility in the marketplace for manufacturers that use them. A PCR is a set of specific rules, requirements and guidelines for developing Environmental Product Declarations (EPDs) for one or more product categories such as cement or asphalt.  This document is based on many existing industry standards defined through the Voluntary Consensus Process, as encouraged by the National Technology Transfer and Advancement Act. This document further clarifies and amplifies the existing standards and best practices in the marketplace.",https://www.epa.gov/system/files/documents/2024-08/final-pcr-criteria_8-7-24_508.pdf
EPD Basics: A manufacturer's guide to how and why to develop Environmental Product Declarations (pdf),12/1/2024,7/21/2025,,,"It's a guidebook for manufacturers of construction materials like cement, asphalt, steel, glass as well as other materials and products on how to produce a product-specific environmental disclosure report called an Environmental Product Declaration. A large and growing number of funders and developers of construction projects require and/or incentivize manufacturers to provide EPDs for their projects. ",https://www.epa.gov/system/files/documents/2024-11/epd_basics_how_why_to_develop.pdf
